n_sites,deployment_days_per_site,replicate,method,split,covs_rmse,psi_rmse,z_acc,time
50,112,7,spOcc,train,0.29293349342264063,0.4935425216906697,0.5,0.3172495230101049
50,112,7,spOcc,test,0.29293349342264063,0.44328229656259843,0.8,0.3172495230101049
50,112,7,Unmarked,train,0.2843200660654557,0.4932014299971273,0.5,0.056892940774559975
50,112,7,Unmarked,test,0.2843200660654557,0.4395082279028035,0.8,0.056892940774559975
50,112,7,NumPyro,train,0.2979170378965575,0.49359208,0.55,9.826727526728064
50,112,7,NumPyro,test,0.2979170378965575,0.43839538,0.8,9.826727526728064
50,112,8,spOcc,train,0.4355968744049049,0.41520153944136595,0.75,0.3062457009218633
50,112,8,spOcc,test,0.4355968744049049,0.3292360910965033,0.9,0.3062457009218633
50,112,8,Unmarked,train,0.3752426868086062,0.41331653830151965,0.75,0.06237063184380531
50,112,8,Unmarked,test,0.3752426868086062,0.3134605911363524,0.9,0.06237063184380531
50,112,8,NumPyro,train,0.4239054637491568,0.41491756,0.75,9.791818803176284
50,112,8,NumPyro,test,0.4239054637491568,0.3212642,0.90000004,9.791818803176284
50,112,9,spOcc,train,0.4360373418575564,0.39496925475264166,0.8,0.37855628598481417
50,112,9,spOcc,test,0.4360373418575564,0.307056334779041,1.0,0.37855628598481417
50,112,9,Unmarked,train,0.4132839161291017,0.3916727964286382,0.8,0.06260057305917144
50,112,9,Unmarked,test,0.4132839161291017,0.2801131588798965,1.0,0.06260057305917144
50,112,9,NumPyro,train,0.41187954348450656,0.39395496,0.8,9.934040454681963
50,112,9,NumPyro,test,0.41187954348450656,0.28905338,1.0,9.934040454681963
50,365,0,spOcc,train,0.20319677025887864,0.47387470438758417,0.55,1.0269953170791268
50,365,0,spOcc,test,0.20319677025887864,0.4981225974489138,0.6,1.0269953170791268
50,365,0,Unmarked,train,0.2600284923123756,0.4739222218826707,0.625,0.11759934388101101
50,365,0,Unmarked,test,0.2600284923123756,0.4998003127081521,0.6,0.11759934388101101
50,365,0,NumPyro,train,0.1976517088568854,0.4737707,0.55,12.13981750793755
50,365,0,NumPyro,test,0.1976517088568854,0.4983405,0.6,12.13981750793755
50,365,1,spOcc,train,0.41940165275787594,0.43667279179052404,0.75,1.118274737149477
50,365,1,spOcc,test,0.41940165275787594,0.5705474232621947,0.5,1.118274737149477
50,365,1,Unmarked,train,0.7106517845797408,0.46263381626025524,0.725,0.10680202208459377
50,365,1,Unmarked,test,0.7106517845797408,0.6187685290024366,0.3,0.10680202208459377
50,365,1,NumPyro,train,0.4175792270265592,0.4363137,0.75,10.169904485810548
50,365,1,NumPyro,test,0.4175792270265592,0.5736962,0.4,10.169904485810548
50,365,2,spOcc,train,0.2930866947372446,0.46770144191680596,0.7,1.0025886949151754
50,365,2,spOcc,test,0.2930866947372446,0.4429554214882021,0.8,1.0025886949151754
50,365,2,Unmarked,train,0.3208314485020619,0.46674289642720185,0.675,0.0999908298254013
50,365,2,Unmarked,test,0.3208314485020619,0.42945134613781333,0.8,0.0999908298254013
50,365,2,NumPyro,train,0.30223644056859883,0.46763632,0.7,10.293281816877425
50,365,2,NumPyro,test,0.30223644056859883,0.44185528,0.8,10.293281816877425
50,365,3,spOcc,train,0.3772143459073476,0.4739305799985716,0.625,0.9173383289016783
50,365,3,spOcc,test,0.3772143459073476,0.49259044524583334,0.6,0.9173383289016783
50,365,3,Unmarked,train,0.5107348196150382,0.4759323643636565,0.625,0.13613019790500402
50,365,3,Unmarked,test,0.5107348196150382,0.5305627774168185,0.6,0.13613019790500402
50,365,3,NumPyro,train,0.3868415887626178,0.47379276,0.625,10.12522979779169
50,365,3,NumPyro,test,0.3868415887626178,0.5031997,0.6,10.12522979779169
50,365,4,spOcc,train,0.39067141226770996,0.45121444998272675,0.675,1.063674561213702
50,365,4,spOcc,test,0.39067141226770996,0.29060660817747463,0.9,1.063674561213702
50,365,4,Unmarked,train,0.34028339433775684,0.44959581686238825,0.7,0.13590962905436754
50,365,4,Unmarked,test,0.34028339433775684,0.2725448410513688,0.9,0.13590962905436754
50,365,4,NumPyro,train,0.3678908289397562,0.45106766,0.675,10.110525208991021
50,365,4,NumPyro,test,0.3678908289397562,0.2738261,0.90000004,10.110525208991021
50,365,5,spOcc,train,0.3538393696146113,0.4394672671068073,0.725,0.8139164713211358
50,365,5,spOcc,test,0.3538393696146113,0.4832818491111596,0.7,0.8139164713211358
50,365,5,Unmarked,train,0.3008356751456958,0.4377511870345889,0.725,0.10062670102342963
50,365,5,Unmarked,test,0.3008356751456958,0.4865766361565869,0.7,0.10062670102342963
50,365,5,NumPyro,train,0.34383593749736174,0.4392889,0.725,9.995388519018888
50,365,5,NumPyro,test,0.34383593749736174,0.48192456,0.7,9.995388519018888
50,365,6,spOcc,train,0.8070876482736009,0.3892707143579823,0.7,0.8743311441503465
50,365,6,spOcc,test,0.8070876482736009,0.3904865162212075,0.8,0.8743311441503465
50,365,6,Unmarked,train,0.2340641328038454,0.38875659132995194,0.7,0.09866674104705453
50,365,6,Unmarked,test,0.2340641328038454,0.4078245110020782,0.8,0.09866674104705453
50,365,6,NumPyro,train,0.8003077655218288,0.38914713,0.7,9.763864235021174
50,365,6,NumPyro,test,0.8003077655218288,0.39865416,0.8,9.763864235021174
50,365,7,spOcc,train,0.2849468616859119,0.4937043988136613,0.55,0.8710155640728772
50,365,7,spOcc,test,0.2849468616859119,0.4448567917715523,0.8,0.8710155640728772
50,365,7,Unmarked,train,0.30605502905209786,0.4943236388991323,0.55,0.12108615599572659
50,365,7,Unmarked,test,0.30605502905209786,0.42202525549202097,0.8,0.12108615599572659
50,365,7,NumPyro,train,0.27337270272794756,0.49357483,0.52500004,9.990940357092768
50,365,7,NumPyro,test,0.27337270272794756,0.44030386,0.8,9.990940357092768
50,365,8,spOcc,train,0.2526578240815894,0.44332667259147346,0.7,0.7269763052463531
50,365,8,spOcc,test,0.2526578240815894,0.5016559122006058,0.6,0.7269763052463531
50,365,8,Unmarked,train,0.38196919245116706,0.44479203969024017,0.75,0.10534637328237295
50,365,8,Unmarked,test,0.38196919245116706,0.5255308219845268,0.6,0.10534637328237295
50,365,8,NumPyro,train,0.2368658454305086,0.44359407,0.675,9.634044314268976
50,365,8,NumPyro,test,0.2368658454305086,0.5018417,0.6,9.634044314268976
50,365,9,spOcc,train,0.39444030329600055,0.3932721393958865,0.8,0.6352465958334506
50,365,9,spOcc,test,0.39444030329600055,0.2981420268848907,1.0,0.6352465958334506
50,365,9,Unmarked,train,0.4084782561854111,0.39099841854829276,0.8,0.103460812009871
50,365,9,Unmarked,test,0.4084782561854111,0.2716145141428538,1.0,0.103460812009871
50,365,9,NumPyro,train,0.39897036034852396,0.3933336,0.8,9.793438652064651
50,365,9,NumPyro,test,0.39897036034852396,0.285502,1.0,9.793438652064651
100,28,0,spOcc,train,0.37959761456113594,0.49266165791368044,0.5875,0.5423707570880651
100,28,0,spOcc,test,0.37959761456113594,0.5144650528125274,0.45,0.5423707570880651
100,28,0,Unmarked,train,0.3774437925439696,0.4928995707201235,0.5875,0.07121824519708753
100,28,0,Unmarked,test,0.3774437925439696,0.515553206453913,0.45,0.07121824519708753
100,28,0,NumPyro,train,0.37104033944072795,0.49256095,0.6,13.01586981676519
100,28,0,NumPyro,test,0.37104033944072795,0.51367337,0.5,13.01586981676519
